title,price,rating,num_ratings
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"₹27,999",,"8,438"
OnePlus 138.7 cm (55 inches) U Series 4K LED Smart Android TV 55U1S (Black),"₹42,999",,"7,072"
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),"₹6,999",4.3,"4,916"
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"₹11,999",4.2,"37,043"
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"₹13,990",4.4,"8,970"
Redmi 80 cm (32 inches) HD Ready Smart LED Fire TV L32R8-FVIN (Black),"₹12,999",,
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"₹13,990",4.3,"12,571"
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"₹12,999",,"47,916"
Acer 100 cm (40 inches) P Series Full HD Android Smart LED TV AR40AR2841FDFL (Black),"₹16,999",,"8,227"
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"₹13,999",4.3,"34,465"
Onida 108 cm (43 inches) Full HD Smart LED Fire TV 43FIF3 (Black),"₹21,990",4.3,"4,595"
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"₹13,990",4.3,"12,571"
Redmi 108 cm (43 inches) Android 11 Series Full HD Smart LED TV L43M6-RA/L43M7-RA (Black),"₹21,999",,"47,916"
VU 108 cm (43 inches) Premium Series Full HD Smart LED TV 43GA (Black),,,"1,132"
TOSHIBA 139 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55M550LP (Black),"₹46,999",4.3,454 ra
imee 102cm (40 inch) Premium Pro Series Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Steel Grey Colour),"₹17,999",,2 rati
Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"₹10,999",4.4,"8,227"
Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),"₹29,990",4.3,"7,967"
Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black),"₹30,999",4.4,"8,227"
OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),"₹32,999",,"8,438"
MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV L40M7-EAIN (Black),"₹19,999",,"34,465"
TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6505 (Black),"₹17,990",,"1,339"
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"₹27,999",,"8,438"
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"₹12,999",,"47,916"
OnePlus 163 cm (65 inches) Q Series 4K Ultra HD QLED Smart Google TV 65 Q2 Pro (Black),"₹99,999",4.6,7 rati
